Repo,Category,Currently Used with Approved Aggressor Collection,Added Date
https://github.com/squidfunk/mkdocs-material,MaterialUI for MkDocs,No,02-15-2023
https://github.com/mkdocs/mkdocs,Documentation,No,02-15-2023
https://github.com/facelessuser/pymdown-extensions,Plugin for MkDocs,No,03-06-2023
https://github.com/axi0m/ratatoskr,Repo Notifier,No,03-30-23
